CourierID,CusomerID,Weight(kgs),Source,Destination,Description,Price,Date,Status,slat,slong,dlat,dlong
46,507,32,Bhubaneshwar,Chennai,Valuables,100,02-02-2008,0,20.2961,85.8245,13.0827,80.2707
47,392,15,Chandigarh,Vijayawada,Medicines or Medical Equipments,50,18-08-2022,0,30.7333,76.7794,16.5062,80.648
48,782,29,Coimbatore,Trivandrum,Parcels,50,06-08-2006,0,11.0168,76.9558,8.5241,76.9366
49,645,55,Delhi,Nagapattinam,Fragile Items,1500,10-05-2007,1,28.7041,77.1025,10.7662,79.8422
50,353,6,Mumbai,Erankulam,Personal Belongings,50,11-11-2020,0,19.076,72.8777,9.97,76.28
51,920,19,Sivakasi,Thanjavur,Hazardous materials,50,24-10-2010,1,9.4524,77.8003,10.7864,79.1378
52,684,18,Kochi,Tuticorin,Hazardous materials,50,08-11-2019,1,9.9312,76.2673,8.7642,78.1348
53,403,69,Ooty,Palakad,Fragile Items,1500,12-08-2016,0,11.4064,76.6932,10.7867,76.6548
54,40,20,Palakad,Telangana,Hazardous materials,50,31-12-2012,1,10.7867,76.6548,18.1124,79.0193
55,991,51,Telangana,Vijayawada,Fragile Items,1500,14-04-2007,0,18.1124,79.0193,16.5062,80.648
56,612,12,Bangalore,Coimbatore,Medicines or Medical Equipments,50,20-06-2018,0,12.9716,77.5946,11.0168,76.9558
57,309,59,Gujarat,Delhi,Fragile Items,1500,12-07-2005,0,22.2587,71.1924,28.7041,77.1025
58,878,91,Pune,Mumbai,Oversized Items,2500,06-12-2021,1,18.5204,73.8567,19.076,72.8777
59,96,81,Trichy,Sivakasi,Oversized Items,2500,29-11-2022,1,10.7905,78.7047,9.4524,77.8003
60,792,53,Surat,Kochi,Fragile Items,1500,30-07-2018,0,21.1702,72.8311,9.9312,76.2673
61,937,71,Dindigul,Ooty,Oversized Items,2500,20-05-2019,0,10.3689,77.9803,11.4064,76.6932
62,425,71,Kolkata,Palakad,Oversized Items,2500,30-12-2006,1,22.5726,88.3639,10.7867,76.6548
63,117,47,Kanpur,Palakad,Valuables,100,20-10-2017,0,26.4499,80.3319,10.7867,76.6548
64,524,76,Visakhapatnam,Telangana,Oversized Items,2500,29-04-2005,0,17.6868,83.2185,18.1124,79.0193
65,971,97,Bhopal,Bangalore,Oversized Items,2500,10-11-2013,0,23.2599,77.4126,12.9716,77.5946
66,576,17,Patna,Gujarat,Hazardous materials,50,22-11-2013,1,25.5941,85.1376,22.2587,71.1924
67,286,85,Madurai,Pune,Oversized Items,2500,10-02-2005,0,9.9252,78.1198,18.5204,73.8567
68,777,73,Trichy,Ahmedabad,Oversized Items,2500,31-01-2016,0,10.7905,78.7047,23.0225,72.5714
69,982,100,Hydreabad,Surat,Oversized Items,2500,21-07-2014,1,17.385,78.4867,21.1702,72.8311
70,44,82,Chennai,Dindigul,Oversized Items,2500,27-07-2007,0,13.0827,80.2707,10.3689,77.9803
71,588,18,Jodhpur,Kolkata,Hazardous materials,50,04-06-2011,1,26.2389,73.0243,22.5726,88.3639
72,428,62,Kanyakumari,Kanpur,Fragile Items,1500,22-06-2020,1,8.0883,77.5385,26.4499,80.3319
73,404,11,Coonoor,Visakhapatnam,Medicines or Medical Equipments,50,18-11-2006,0,11.353,76.7952,17.6868,83.2185
74,174,38,Bhubaneshwar,Bhopal,Valuables,100,11-11-2019,0,20.2961,85.8245,23.2599,77.4126
75,970,23,Chandigarh,Chennai,Parcels,50,04-01-2018,1,30.7333,76.7794,13.0827,80.2707
76,4,42,Salem,Coimbatore,Valuables,100,06-10-2020,0,11.6643,78.146,11.0168,76.9558
77,227,92,Kanyakumari,Delhi,Oversized Items,2500,29-03-2014,1,8.0883,77.5385,28.7041,77.1025
78,324,83,Coonoor,Mumbai,Oversized Items,2500,10-01-2006,1,11.353,76.7952,19.076,72.8777
79,643,61,Bhubaneshwar,Sivakasi,Fragile Items,1500,02-03-2006,0,20.2961,85.8245,9.4524,77.8003
80,871,83,Chandigarh,Kochi,Oversized Items,2500,29-12-2006,0,30.7333,76.7794,9.9312,76.2673
81,29,56,Jodhpur,Ooty,Fragile Items,1500,01-12-2005,0,26.2389,73.0243,11.4064,76.6932
82,777,76,Vijayawada,Palakad,Oversized Items,2500,02-08-2009,0,16.5062,80.648,10.7867,76.6548
83,630,61,Coimbatore,Telangana,Fragile Items,1500,04-12-2006,0,11.0168,76.9558,18.1124,79.0193
84,602,30,Delhi,Vijayawada,Parcels,50,04-02-2013,1,28.7041,77.1025,16.5062,80.648
85,542,84,Mumbai,Trivandrum,Oversized Items,2500,05-11-2010,0,19.076,72.8777,8.5241,76.9366
86,152,59,Sivakasi,Nagapattinam,Fragile Items,1500,11-10-2021,1,9.4524,77.8003,10.7662,79.8422
87,211,67,Kochi,Erankulam,Fragile Items,1500,13-07-2016,0,9.9312,76.2673,9.97,76.28
88,935,61,Ooty,Thanjavur,Fragile Items,1500,01-12-2006,0,11.4064,76.6932,10.7864,79.1378
89,626,14,Palakad,Tuticorin,Medicines or Medical Equipments,50,03-08-2013,0,10.7867,76.6548,8.7642,78.1348
90,640,50,Telangana,Visakhapatnam,Valuables,100,07-04-2015,0,18.1124,79.0193,17.6868,83.2185
91,317,49,Bangalore,Bhopal,Valuables,100,21-07-2020,1,12.9716,77.5946,23.2599,77.4126
92,576,3,Gujarat,Patna,Perishable goods,50,08-03-2005,1,22.2587,71.1924,25.5941,85.1376
93,737,62,Pune,Madurai,Fragile Items,1500,26-06-2009,0,18.5204,73.8567,9.9252,78.1198
94,396,20,Ahmedabad,Trichy,Hazardous materials,50,22-07-2014,1,23.0225,72.5714,10.7905,78.7047
95,788,16,Surat,Hydreabad,Hazardous materials,50,12-04-2008,1,21.1702,72.8311,17.385,78.4867
96,588,14,Dindigul,Delhi,Medicines or Medical Equipments,50,31-12-2021,0,10.3689,77.9803,28.7041,77.1025
97,362,80,Kolkata,Mumbai,Oversized Items,2500,01-03-2014,1,22.5726,88.3639,19.076,72.8777
98,624,59,Kanpur,Sivakasi,Fragile Items,1500,06-01-2006,0,26.4499,80.3319,9.4524,77.8003
99,588,6,Visakhapatnam,Kochi,Personal Belongings,50,18-04-2022,0,17.6868,83.2185,9.9312,76.2673
100,256,60,Bhopal,Jodhpur,Fragile Items,1500,29-05-2021,1,23.2599,77.4126,26.2389,73.0243
101,332,53,Chennai,Bangalore,Fragile Items,1500,07-05-2016,0,13.0827,80.2707,12.9716,77.5946
102,220,11,Coimbatore,Telangana,Medicines or Medical Equipments,50,23-05-2011,0,11.0168,76.9558,18.1124,79.0193
103,561,13,Delhi,Palakad,Medicines or Medical Equipments,50,16-09-2021,1,28.7041,77.1025,10.7867,76.6548
104,588,53,Mumbai,Ooty,Fragile Items,1500,06-09-2005,1,19.076,72.8777,11.4064,76.6932
105,42,18,Sivakasi,Bhopal,Hazardous materials,50,10-04-2020,1,9.4524,77.8003,23.2599,77.4126
106,449,64,Kochi,Patna,Fragile Items,1500,01-06-2011,1,9.9312,76.2673,25.5941,85.1376
107,155,73,Ooty,Madurai,Oversized Items,2500,02-05-2005,0,11.4064,76.6932,9.9252,78.1198
108,337,65,Palakad,Trichy,Fragile Items,1500,16-05-2011,1,10.7867,76.6548,10.7905,78.7047
109,655,46,Telangana,Hydreabad,Valuables,100,26-05-2016,1,18.1124,79.0193,17.385,78.4867
110,116,59,Bangalore,Guntur,Fragile Items,1500,12-11-2005,1,12.9716,77.5946,16.2915,80.4542
111,569,30,Gujarat,Salem,Parcels,50,17-08-2018,0,22.2587,71.1924,11.6643,78.146
112,66,8,Pune,Chennai,Personal Belongings,50,11-10-2019,1,18.5204,73.8567,13.0827,80.2707
113,698,62,Ahmedabad,Coonoor,Fragile Items,1500,09-10-2018,0,23.0225,72.5714,11.353,76.7952
114,860,74,Surat,Bhubaneshwar,Oversized Items,2500,29-05-2013,0,21.1702,72.8311,20.2961,85.8245
115,68,70,Dindigul,Chandigarh,Fragile Items,1500,02-07-2018,1,10.3689,77.9803,30.7333,76.7794
116,541,71,Kolkata,Jodhpur,Oversized Items,2500,13-06-2006,0,22.5726,88.3639,26.2389,73.0243
117,822,47,Kanpur,Vijayawada,Valuables,100,07-12-2020,1,26.4499,80.3319,16.5062,80.648
118,745,72,Visakhapatnam,Telangana,Oversized Items,2500,29-01-2010,1,17.6868,83.2185,18.1124,79.0193
119,732,64,Bhopal,Bangalore,Fragile Items,1500,11-10-2013,0,23.2599,77.4126,12.9716,77.5946
120,218,91,Patna,Gujarat,Oversized Items,2500,27-10-2013,1,25.5941,85.1376,22.2587,71.1924
121,824,91,Madurai,Pune,Oversized Items,2500,05-12-2015,0,9.9252,78.1198,18.5204,73.8567
122,16,91,Trichy,Ahmedabad,Oversized Items,2500,01-06-2005,0,10.7905,78.7047,23.0225,72.5714
123,736,9,Hydreabad,Surat,Personal Belongings,50,06-09-2014,0,17.385,78.4867,21.1702,72.8311
124,490,55,Guntur,Kanyakumari,Fragile Items,1500,03-06-2021,1,16.2915,80.4542,8.0883,77.5385
125,990,85,Salem,Coonoor,Oversized Items,2500,09-08-2013,0,11.6643,78.146,11.353,76.7952
126,403,54,Kanyakumari,Gujarat,Fragile Items,1500,13-02-2019,0,8.0883,77.5385,22.2587,71.1924
127,1000,68,Coonoor,Pune,Fragile Items,1500,09-08-2016,0,11.353,76.7952,18.5204,73.8567
128,222,80,Bhubaneshwar,Ahmedabad,Oversized Items,2500,17-10-2011,1,20.2961,85.8245,23.0225,72.5714
129,858,34,Chandigarh,Surat,Valuables,100,12-03-2009,0,30.7333,76.7794,21.1702,72.8311
130,176,32,Jodhpur,Chandigarh,Valuables,100,14-08-2022,1,26.2389,73.0243,30.7333,76.7794
131,825,7,Vijayawada,Coimbatore,Personal Belongings,50,29-07-2020,0,16.5062,80.648,11.0168,76.9558
132,478,58,Trivandrum,Delhi,Fragile Items,1500,31-07-2022,1,8.5241,76.9366,28.7041,77.1025
133,782,77,Nagapattinam,Mumbai,Oversized Items,2500,15-01-2011,1,10.7662,79.8422,19.076,72.8777
134,96,76,Erankulam,Sivakasi,Oversized Items,2500,29-12-2018,1,9.97,76.28,9.4524,77.8003
135,660,80,Thanjavur,Chennai,Oversized Items,2500,30-10-2018,0,10.7864,79.1378,13.0827,80.2707
136,663,58,Tuticorin,Ahmedabad,Fragile Items,1500,20-05-2010,1,8.7642,78.1348,23.0225,72.5714
137,239,20,Palakad,Surat,Hazardous materials,50,16-02-2009,1,10.7867,76.6548,21.1702,72.8311
138,537,22,Telangana,Kanyakumari,Parcels,50,29-02-2020,1,18.1124,79.0193,8.0883,77.5385
139,389,60,Bangalore,Chennai,Fragile Items,1500,20-04-2014,0,12.9716,77.5946,13.0827,80.2707
140,37,86,Gujarat,Tuticorin,Oversized Items,2500,24-12-2022,1,22.2587,71.1924,8.7642,78.1348
141,891,20,Pune,Palakad,Hazardous materials,50,20-05-2022,1,18.5204,73.8567,10.7867,76.6548
142,854,64,Ahmedabad,Kolkata,Fragile Items,1500,04-09-2011,1,23.0225,72.5714,22.5726,88.3639
143,734,11,Surat,Kanpur,Medicines or Medical Equipments,50,29-11-2018,0,21.1702,72.8311,26.4499,80.3319
144,163,16,Kanyakumari,Visakhapatnam,Hazardous materials,50,01-03-2014,0,8.0883,77.5385,17.6868,83.2185
145,681,84,Coonoor,Bhopal,Oversized Items,2500,21-06-2017,1,11.353,76.7952,23.2599,77.4126
146,935,65,Bhubaneshwar,Chennai,Fragile Items,1500,19-11-2022,0,20.2961,85.8245,13.0827,80.2707
147,699,32,Chandigarh,Vijayawada,Valuables,100,03-03-2008,0,30.7333,76.7794,16.5062,80.648
148,547,43,Coimbatore,Trivandrum,Valuables,100,08-01-2018,0,11.0168,76.9558,8.5241,76.9366
149,415,4,Delhi,Nagapattinam,Perishable goods,50,06-05-2019,1,28.7041,77.1025,10.7662,79.8422
150,930,82,Mumbai,Erankulam,Oversized Items,2500,18-02-2017,1,19.076,72.8777,9.97,76.28
151,48,12,Sivakasi,Thanjavur,Medicines or Medical Equipments,50,25-08-2019,1,9.4524,77.8003,10.7864,79.1378
152,604,55,Kochi,Tuticorin,Fragile Items,1500,29-03-2009,0,9.9312,76.2673,8.7642,78.1348
153,702,50,Ooty,Palakad,Valuables,100,12-01-2018,0,11.4064,76.6932,10.7867,76.6548
154,544,23,Palakad,Telangana,Parcels,50,01-05-2022,1,10.7867,76.6548,18.1124,79.0193
155,943,16,Telangana,Vijayawada,Hazardous materials,50,29-11-2008,0,18.1124,79.0193,16.5062,80.648
156,428,85,Bangalore,Coimbatore,Oversized Items,2500,28-01-2019,1,12.9716,77.5946,11.0168,76.9558
157,311,12,Gujarat,Delhi,Medicines or Medical Equipments,50,08-10-2012,0,22.2587,71.1924,28.7041,77.1025
158,338,93,Pune,Mumbai,Oversized Items,2500,23-01-2012,0,18.5204,73.8567,19.076,72.8777
159,146,34,Trichy,Sivakasi,Valuables,100,27-10-2009,1,10.7905,78.7047,9.4524,77.8003
160,374,16,Surat,Kochi,Hazardous materials,50,08-06-2006,0,21.1702,72.8311,9.9312,76.2673
161,220,70,Dindigul,Ooty,Fragile Items,1500,30-11-2007,1,10.3689,77.9803,11.4064,76.6932
162,215,42,Kolkata,Palakad,Valuables,100,28-06-2016,1,22.5726,88.3639,10.7867,76.6548
163,186,34,Kanpur,Palakad,Valuables,100,07-10-2015,0,26.4499,80.3319,10.7867,76.6548
164,391,10,Visakhapatnam,Telangana,Personal Belongings,50,29-07-2014,1,17.6868,83.2185,18.1124,79.0193
165,34,32,Bhopal,Bangalore,Valuables,100,29-10-2018,0,23.2599,77.4126,12.9716,77.5946
166,223,25,Patna,Gujarat,Parcels,50,29-05-2016,0,25.5941,85.1376,22.2587,71.1924
167,853,38,Madurai,Pune,Valuables,100,29-05-2007,1,9.9252,78.1198,18.5204,73.8567
168,871,44,Trichy,Ahmedabad,Valuables,100,22-06-2008,1,10.7905,78.7047,23.0225,72.5714
169,915,17,Hydreabad,Surat,Hazardous materials,50,13-01-2021,0,17.385,78.4867,21.1702,72.8311
170,47,25,Chennai,Dindigul,Parcels,50,01-10-2015,0,13.0827,80.2707,10.3689,77.9803
171,708,16,Jodhpur,Kolkata,Hazardous materials,50,08-10-2020,0,26.2389,73.0243,22.5726,88.3639
172,400,37,Kanyakumari,Kanpur,Valuables,100,29-04-2022,1,8.0883,77.5385,26.4499,80.3319
173,719,7,Coonoor,Visakhapatnam,Personal Belongings,50,19-08-2009,1,11.353,76.7952,17.6868,83.2185
174,847,88,Bhubaneshwar,Bhopal,Oversized Items,2500,17-09-2011,0,20.2961,85.8245,23.2599,77.4126
175,986,12,Chandigarh,Chennai,Medicines or Medical Equipments,50,29-07-2008,0,30.7333,76.7794,13.0827,80.2707
176,4,11,Salem,Coimbatore,Medicines or Medical Equipments,50,17-11-2021,0,11.6643,78.146,11.0168,76.9558
177,962,79,Kanyakumari,Delhi,Oversized Items,2500,11-03-2006,1,8.0883,77.5385,28.7041,77.1025
178,212,97,Coonoor,Mumbai,Oversized Items,2500,04-07-2007,0,11.353,76.7952,19.076,72.8777
179,804,89,Bhubaneshwar,Sivakasi,Oversized Items,2500,20-10-2014,0,20.2961,85.8245,9.4524,77.8003
180,521,20,Chandigarh,Kochi,Hazardous materials,50,22-11-2013,0,30.7333,76.7794,9.9312,76.2673
181,718,31,Jodhpur,Ooty,Valuables,100,12-06-2020,0,26.2389,73.0243,11.4064,76.6932
182,426,31,Vijayawada,Palakad,Valuables,100,29-03-2014,0,16.5062,80.648,10.7867,76.6548
183,387,4,Coimbatore,Telangana,Perishable goods,50,29-11-2010,0,11.0168,76.9558,18.1124,79.0193
184,651,2,Delhi,Vijayawada,Perishable goods,50,20-07-2021,0,28.7041,77.1025,16.5062,80.648
185,496,22,Mumbai,Trivandrum,Parcels,50,16-10-2022,0,19.076,72.8777,8.5241,76.9366
186,844,29,Sivakasi,Nagapattinam,Parcels,50,21-05-2008,1,9.4524,77.8003,10.7662,79.8422
187,540,74,Kochi,Erankulam,Oversized Items,2500,16-09-2019,0,9.9312,76.2673,9.97,76.28
188,337,34,Ooty,Thanjavur,Valuables,100,13-11-2011,0,11.4064,76.6932,10.7864,79.1378
189,487,81,Palakad,Tuticorin,Oversized Items,2500,09-09-2015,1,10.7867,76.6548,8.7642,78.1348
190,583,82,Telangana,Visakhapatnam,Oversized Items,2500,30-12-2005,0,18.1124,79.0193,17.6868,83.2185
191,712,14,Bangalore,Bhopal,Medicines or Medical Equipments,50,19-02-2016,1,12.9716,77.5946,23.2599,77.4126
192,137,5,Gujarat,Patna,Perishable goods,50,22-08-2016,0,22.2587,71.1924,25.5941,85.1376
193,169,16,Pune,Madurai,Hazardous materials,50,27-05-2013,1,18.5204,73.8567,9.9252,78.1198
194,194,24,Ahmedabad,Trichy,Parcels,50,07-08-2006,1,23.0225,72.5714,10.7905,78.7047
195,670,79,Surat,Hydreabad,Oversized Items,2500,07-12-2022,1,21.1702,72.8311,17.385,78.4867
196,164,64,Dindigul,Delhi,Fragile Items,1500,02-03-2018,0,10.3689,77.9803,28.7041,77.1025
197,681,74,Kolkata,Mumbai,Oversized Items,2500,29-10-2020,1,22.5726,88.3639,19.076,72.8777
198,681,52,Kanpur,Sivakasi,Fragile Items,1500,29-04-2010,0,26.4499,80.3319,9.4524,77.8003
199,631,93,Visakhapatnam,Kochi,Oversized Items,2500,19-12-2007,0,17.6868,83.2185,9.9312,76.2673
200,607,93,Bhopal,Jodhpur,Oversized Items,2500,28-06-2017,1,23.2599,77.4126,26.2389,73.0243
201,106,58,Chennai,Bangalore,Fragile Items,1500,20-01-2012,1,13.0827,80.2707,12.9716,77.5946
202,770,36,Coimbatore,Telangana,Valuables,100,26-05-2007,0,11.0168,76.9558,18.1124,79.0193
203,2,3,Delhi,Palakad,Perishable goods,50,01-10-2008,0,28.7041,77.1025,10.7867,76.6548
204,551,23,Mumbai,Ooty,Parcels,50,10-06-2006,1,19.076,72.8777,11.4064,76.6932
205,123,11,Sivakasi,Bhopal,Medicines or Medical Equipments,50,27-04-2014,0,9.4524,77.8003,23.2599,77.4126
206,170,18,Kochi,Patna,Hazardous materials,50,02-09-2015,0,9.9312,76.2673,25.5941,85.1376
207,98,9,Ooty,Madurai,Personal Belongings,50,03-08-2011,1,11.4064,76.6932,9.9252,78.1198
208,7,96,Palakad,Trichy,Oversized Items,2500,30-09-2019,0,10.7867,76.6548,10.7905,78.7047
209,500,16,Telangana,Hydreabad,Hazardous materials,50,21-05-2011,1,18.1124,79.0193,17.385,78.4867
210,756,3,Bangalore,Guntur,Perishable goods,50,28-12-2014,1,12.9716,77.5946,16.2915,80.4542
211,315,8,Gujarat,Salem,Personal Belongings,50,30-10-2017,0,22.2587,71.1924,11.6643,78.146
212,658,38,Pune,Chennai,Valuables,100,29-02-2016,1,18.5204,73.8567,13.0827,80.2707
213,890,59,Ahmedabad,Coonoor,Fragile Items,1500,12-06-2022,0,23.0225,72.5714,11.353,76.7952
214,79,40,Surat,Bhubaneshwar,Valuables,100,13-04-2015,1,21.1702,72.8311,20.2961,85.8245
215,731,42,Dindigul,Chandigarh,Valuables,100,17-09-2013,0,10.3689,77.9803,30.7333,76.7794
216,42,69,Kolkata,Jodhpur,Fragile Items,1500,14-04-2009,0,22.5726,88.3639,26.2389,73.0243
217,937,83,Kanpur,Vijayawada,Oversized Items,2500,29-12-2006,1,26.4499,80.3319,16.5062,80.648
218,543,43,Visakhapatnam,Telangana,Valuables,100,01-03-2005,1,17.6868,83.2185,18.1124,79.0193
219,549,90,Bhopal,Bangalore,Oversized Items,2500,08-10-2018,1,23.2599,77.4126,12.9716,77.5946
220,539,4,Patna,Gujarat,Perishable goods,50,10-02-2011,0,25.5941,85.1376,22.2587,71.1924
221,129,53,Madurai,Pune,Fragile Items,1500,23-03-2007,0,9.9252,78.1198,18.5204,73.8567
222,736,86,Trichy,Ahmedabad,Oversized Items,2500,01-11-2021,1,10.7905,78.7047,23.0225,72.5714
223,426,65,Hydreabad,Surat,Fragile Items,1500,20-05-2022,1,17.385,78.4867,21.1702,72.8311
224,224,44,Guntur,Kanyakumari,Valuables,100,15-11-2013,0,16.2915,80.4542,8.0883,77.5385
225,168,38,Salem,Coonoor,Valuables,100,29-10-2019,0,11.6643,78.146,11.353,76.7952
226,301,26,Kanyakumari,Gujarat,Parcels,50,20-02-2015,1,8.0883,77.5385,22.2587,71.1924
227,118,70,Coonoor,Pune,Fragile Items,1500,17-10-2005,1,11.353,76.7952,18.5204,73.8567
228,666,78,Bhubaneshwar,Ahmedabad,Oversized Items,2500,19-09-2014,1,20.2961,85.8245,23.0225,72.5714
229,918,72,Chandigarh,Surat,Oversized Items,2500,29-09-2014,1,30.7333,76.7794,21.1702,72.8311
230,430,87,Jodhpur,Chandigarh,Oversized Items,2500,07-07-2005,0,26.2389,73.0243,30.7333,76.7794
231,747,29,Vijayawada,Coimbatore,Parcels,50,23-05-2006,1,16.5062,80.648,11.0168,76.9558
232,135,20,Trivandrum,Delhi,Hazardous materials,50,01-10-2022,0,8.5241,76.9366,28.7041,77.1025
233,168,60,Nagapattinam,Mumbai,Fragile Items,1500,02-02-2007,0,10.7662,79.8422,19.076,72.8777
234,406,4,Erankulam,Sivakasi,Perishable goods,50,12-08-2008,1,9.97,76.28,9.4524,77.8003
235,130,98,Thanjavur,Chennai,Oversized Items,2500,21-11-2007,1,10.7864,79.1378,13.0827,80.2707
236,918,69,Tuticorin,Ahmedabad,Fragile Items,1500,27-11-2009,1,8.7642,78.1348,23.0225,72.5714
237,985,39,Palakad,Surat,Valuables,100,29-03-2015,1,10.7867,76.6548,21.1702,72.8311
238,539,7,Telangana,Kanyakumari,Personal Belongings,50,22-02-2013,0,18.1124,79.0193,8.0883,77.5385
239,261,69,Bangalore,Chennai,Fragile Items,1500,29-01-2016,0,12.9716,77.5946,13.0827,80.2707
240,242,25,Gujarat,Tuticorin,Parcels,50,12-11-2015,0,22.2587,71.1924,8.7642,78.1348
241,785,76,Pune,Palakad,Oversized Items,2500,25-01-2018,1,18.5204,73.8567,10.7867,76.6548
242,145,13,Ahmedabad,Kolkata,Medicines or Medical Equipments,50,28-05-2013,1,23.0225,72.5714,22.5726,88.3639
243,156,65,Surat,Kanpur,Fragile Items,1500,22-05-2022,1,21.1702,72.8311,26.4499,80.3319
244,507,4,Kanyakumari,Visakhapatnam,Perishable goods,50,03-03-2014,1,8.0883,77.5385,17.6868,83.2185
245,821,10,Coonoor,Bhopal,Personal Belongings,50,13-07-2009,0,11.353,76.7952,23.2599,77.4126
246,117,93,Bhubaneshwar,Chennai,Oversized Items,2500,02-09-2011,1,20.2961,85.8245,13.0827,80.2707
